Date,GM,AMD,AAPL,DIS
5/11/2020,22.629999,54.200001,76.412621,109.050003
5/18/2020,25.98,55.169998,79.188927,118.019997
5/25/2020,25.879999,53.799999,78.953018,117.300003
6/1/2020,30.610001,53.099998,82.320328,124.82
6/8/2020,27.959999,53.5,84.133095,115.489998
6/15/2020,26.59,54.23,86.844833,114.349998
6/22/2020,24.459999,50.099998,87.815788,109.099998
6/29/2020,25.24,52.34,90.418251,112.18
7/6/2020,24.389999,55.880001,95.278015,119.339996
7/13/2020,26.450001,55.040001,95.682777,118.650002
7/20/2020,26.25,69.400002,91.995125,117.610001
7/27/2020,24.889999,77.43,105.548805,116.940002
8/3/2020,26.719999,84.849998,110.368835,129.929993
8/10/2020,27.860001,81.300003,114.344223,130.529999
8/17/2020,28.559999,83.809998,123.760338,127.440002
8/24/2020,30.02,85.550003,124.195694,135.539993
8/31/2020,30,82.010002,120.36705,131.990005
9/7/2020,30.459999,76.339996,111.450974,131.75
9/14/2020,31.5,74.93,106.316261,128.630005
9/21/2020,29,78.059998,111.729591,124
9/28/2020,30.459999,81.800003,112.465973,122.550003
10/5/2020,32.16,83.099998,116.396606,124.980003
10/12/2020,33.450001,83.169998,118.436554,126.809998
10/19/2020,36.830002,81.959999,114.476074,128.350006
10/26/2020,34.529999,75.290001,108.326363,121.25
11/2/2020,37.470001,85.879997,118.108185,127.459999
11/9/2020,41.189999,81.43,118.880127,138.360001
11/16/2020,43.040001,84.639999,116.96624,141.070007
11/23/2020,45.060001,87.190002,116.218628,147.130005
11/30/2020,44.400002,94.040001,121.860611,154.139999
12/7/2020,41.919998,91.650002,122.020096,175.720001
12/14/2020,41.009998,95.919998,126.256561,172.889999
12/21/2020,41.580002,91.809998,131.549637,173.729996
12/28/2020,41.639999,91.709999,132.267349,181.179993
1/4/2021,43.060001,94.580002,131.629379,178.690002
1/11/2021,49.970001,88.209999,126.735023,171.440002
1/18/2021,55.400002,92.790001,138.627029,172.779999
1/25/2021,50.68,85.639999,131.539673,168.169998
2/1/2021,54.41,87.900002,136.324387,181.160004
2/8/2021,53.599998,93.769997,135.140442,187.669998
2/15/2021,52.57,89.580002,129.64978,183.649994
2/22/2021,51.330002,84.510002,121.054382,189.039993
3/1/2021,53.75,78.519997,121.214104,189.990005
3/8/2021,59.259998,81.050003,120.824768,197.160004
3/15/2021,59.82,79.059998,119.78653,191.139999
3/22/2021,56.52,77.410004,121.004463,185.919998
3/29/2021,57.799999,81.089996,122.791428,188.970001
4/5/2021,60.16,82.760002,132.774475,187.889999
4/12/2021,58.709999,82.150002,133.93251,187.259995
4/19/2021,57.529999,82.760002,134.092239,183.020004
4/26/2021,57.220001,81.620003,131.237091,186.020004
5/3/2021,58.990002,78.809998,129.989212,184.839996
5/10/2021,56,74.589996,127.449997,173.699997
5/14/2021,56,74.589996,127.449997,173.699997
